h,p_best_rate,popsize,forest,hilly,mean,mad
21,0.76,64,391225.6,inf,inf,inf
21,0.8,64,397638.4,inf,inf,inf
21,0.84,64,394227.2,inf,inf,inf
21,0.88,64,405376,inf,inf,inf
21,0.92,64,399014.4,inf,inf,inf
21,0.96,64,419705.6,inf,inf,inf
21,1,64,421913.6,inf,inf,inf
22,0.04,64,inf,inf,inf,inf
22,0.08,64,inf,inf,inf,inf
22,0.12,64,394924.8,inf,inf,inf
22,0.16,64,406419.2,inf,inf,inf
22,0.19999999,64,402604.8,inf,inf,inf
22,0.23999998,64,400684.8,inf,inf,inf
22,0.28,64,396774.4,inf,inf,inf
22,0.32,64,398540.8,inf,inf,inf
22,0.35999998,64,389785.6,inf,inf,inf
22,0.39999998,64,388486.4,inf,inf,inf
22,0.43999997,64,385932.8,inf,inf,inf
22,0.48,64,394860.8,inf,inf,inf
22,0.52,64,401779.2,inf,inf,inf
22,0.56,64,400800,inf,inf,inf
22,0.6,64,388544,inf,inf,inf
22,0.64,64,404627.2,inf,inf,inf
22,0.68,64,407552,inf,inf,inf
22,0.72,64,410105.6,inf,inf,inf
22,0.76,64,402918.4,inf,inf,inf
22,0.8,64,408134.4,inf,inf,inf
22,0.84,64,397062.4,inf,inf,inf
22,0.88,64,399942.4,inf,inf,inf
22,0.92,64,391846.4,inf,inf,inf
22,0.96,64,404371.2,inf,inf,inf
22,1,64,415916.8,inf,inf,inf
23,0.04,64,inf,inf,inf,inf
23,0.08,64,inf,inf,inf,inf
23,0.12,64,404441.6,inf,inf,inf
23,0.16,64,inf,inf,inf,inf
23,0.19999999,64,388422.4,inf,inf,inf
23,0.23999998,64,413369.6,inf,inf,inf
23,0.28,64,394547.2,inf,inf,inf
23,0.32,64,395116.8,inf,inf,inf
23,0.35999998,64,387916.8,inf,inf,inf
23,0.39999998,64,392716.8,inf,inf,inf
23,0.43999997,64,392294.4,inf,inf,inf
23,0.48,64,384128,inf,inf,inf
23,0.52,64,386892.8,inf,inf,inf
23,0.56,64,392262.4,inf,inf,inf
23,0.6,64,396595.2,inf,inf,inf
23,0.64,64,391769.6,inf,inf,inf
23,0.68,64,399436.8,inf,inf,inf
23,0.72,64,392902.4,inf,inf,inf
23,0.76,64,396736,inf,inf,inf
23,0.8,64,392569.6,inf,inf,inf
23,0.84,64,396083.2,inf,inf,inf
23,0.88,64,404883.2,inf,inf,inf
23,0.92,64,408678.4,inf,inf,inf
23,0.96,64,413478.4,inf,inf,inf
23,1,64,399379.2,inf,inf,inf
24,0.04,64,inf,inf,inf,inf
24,0.08,64,inf,inf,inf,inf
24,0.12,64,391148.8,inf,inf,inf
24,0.16,64,402700.8,inf,inf,inf
24,0.19999999,64,391635.2,inf,inf,inf
24,0.23999998,64,401478.4,inf,inf,inf
24,0.28,64,384281.6,inf,inf,inf
24,0.32,64,384358.4,inf,inf,inf
24,0.35999998,64,389580.8,inf,inf,inf
24,0.39999998,64,390105.6,inf,inf,inf
24,0.43999997,64,393068.8,inf,inf,inf
24,0.48,64,387699.2,inf,inf,inf
24,0.52,64,396768,inf,inf,inf
24,0.56,64,385452.8,inf,inf,inf
24,0.6,64,398329.6,inf,inf,inf
24,0.64,64,390611.2,inf,inf,inf
24,0.68,64,408262.4,inf,inf,inf
24,0.72,64,405452.8,inf,inf,inf
24,0.76,64,404774.4,inf,inf,inf
24,0.8,64,404876.8,inf,inf,inf
24,0.84,64,403769.6,inf,inf,inf
24,0.88,64,403360,inf,inf,inf
24,0.92,64,390201.6,inf,inf,inf
24,0.96,64,408768,inf,inf,inf
24,1,64,405990.4,inf,inf,inf
