cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.44,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.04,64,5670.4,inf,inf,8640,inf,inf,inf,inf
0.48,0.08,64,5977.6,inf,inf,8851.2,inf,inf,inf,inf
0.48,0.12,64,6835.2,17670.4,17606.4,9472,inf,inf,inf,inf
0.48,0.28,64,17561.6,32601.6,32390.4,23622.4,inf,inf,inf,inf
0.48,0.32,64,26163.2,46771.2,47155.2,34745.6,inf,inf,inf,inf
0.48,0.35999998,64,42323.2,inf,inf,inf,inf,inf,inf,inf
0.48,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.48,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.52,0.04,64,5497.6,inf,inf,8467.2,inf,inf,inf,inf
0.52,0.08,64,5881.6,inf,inf,8569.6,inf,inf,inf,inf
