cr,f,popsize,forest,hilly,mean,mad
0.59999996,0.48,64,264204.8,inf,inf,inf
0.59999996,0.52,64,416057.6,inf,inf,inf
0.59999996,0.56,64,inf,inf,inf,inf
0.59999996,0.6,64,inf,inf,inf,inf
0.59999996,0.64,64,inf,inf,inf,inf
0.59999996,0.68,64,inf,inf,inf,inf
0.59999996,0.72,64,inf,inf,inf,inf
0.59999996,0.76,64,inf,inf,inf,inf
0.59999996,0.8,64,inf,inf,inf,inf
0.59999996,0.84,64,inf,inf,inf,inf
0.59999996,0.88,64,inf,inf,inf,inf
0.59999996,0.92,64,inf,inf,inf,inf
0.59999996,0.96,64,inf,inf,inf,inf
0.64,0.04,64,inf,inf,inf,inf
0.64,0.08,64,inf,inf,inf,inf
0.64,0.12,64,inf,inf,inf,inf
0.64,0.16,64,inf,inf,inf,inf
0.64,0.19999999,64,inf,inf,inf,inf
0.64,0.23999998,64,inf,inf,inf,inf
0.64,0.28,64,inf,inf,inf,inf
0.64,0.32,64,inf,inf,inf,inf
0.64,0.35999998,64,inf,inf,inf,inf
0.64,0.39999998,64,inf,inf,inf,inf
0.64,0.43999997,64,inf,inf,inf,inf
0.64,0.48,64,inf,inf,inf,inf
0.64,0.52,64,inf,inf,inf,inf
0.64,0.56,64,inf,inf,inf,inf
0.64,0.6,64,inf,inf,inf,inf
0.64,0.64,64,inf,inf,inf,inf
0.64,0.68,64,inf,inf,inf,inf
0.64,0.72,64,inf,inf,inf,inf
0.64,0.76,64,inf,inf,inf,inf
0.64,0.8,64,inf,inf,inf,inf
0.64,0.84,64,inf,inf,inf,inf
0.64,0.88,64,inf,inf,inf,inf
0.64,0.92,64,inf,inf,inf,inf
0.64,0.96,64,inf,inf,inf,inf
0.68,0.04,64,inf,inf,inf,inf
0.68,0.08,64,inf,inf,inf,inf
0.68,0.12,64,inf,inf,inf,inf
0.68,0.16,64,inf,inf,inf,inf
0.68,0.19999999,64,inf,inf,inf,inf
0.68,0.23999998,64,inf,inf,inf,inf
0.68,0.28,64,inf,inf,inf,inf
0.68,0.32,64,inf,inf,inf,inf
0.68,0.35999998,64,inf,inf,inf,inf
0.68,0.39999998,64,inf,inf,inf,inf
0.68,0.43999997,64,inf,inf,inf,inf
0.68,0.48,64,289324.8,inf,inf,inf
0.68,0.52,64,inf,inf,inf,inf
0.68,0.56,64,inf,inf,inf,inf
0.68,0.6,64,inf,inf,inf,inf
0.68,0.64,64,inf,inf,inf,inf
0.68,0.68,64,inf,inf,inf,inf
0.68,0.72,64,inf,inf,inf,inf
0.68,0.76,64,inf,inf,inf,inf
0.68,0.8,64,inf,inf,inf,inf
0.68,0.84,64,inf,inf,inf,inf
0.68,0.88,64,inf,inf,inf,inf
0.68,0.92,64,inf,inf,inf,inf
0.68,0.96,64,inf,inf,inf,inf
0.71999997,0.04,64,inf,inf,inf,inf
0.71999997,0.08,64,inf,inf,inf,inf
0.71999997,0.12,64,inf,inf,inf,inf
0.71999997,0.16,64,inf,inf,inf,inf
0.71999997,0.19999999,64,inf,inf,inf,inf
0.71999997,0.23999998,64,inf,inf,inf,inf
0.71999997,0.28,64,inf,inf,inf,inf
0.71999997,0.32,64,inf,inf,inf,inf
0.71999997,0.35999998,64,inf,inf,inf,inf
0.71999997,0.39999998,64,inf,inf,inf,inf
0.71999997,0.43999997,64,inf,inf,inf,inf
0.71999997,0.48,64,inf,inf,inf,inf
0.71999997,0.52,64,inf,inf,inf,inf
0.71999997,0.56,64,inf,inf,inf,inf
0.71999997,0.6,64,inf,inf,inf,inf
0.71999997,0.64,64,inf,inf,inf,inf
0.71999997,0.68,64,inf,inf,inf,inf
0.71999997,0.72,64,inf,inf,inf,inf
0.71999997,0.76,64,inf,inf,inf,inf
0.71999997,0.8,64,inf,inf,inf,inf
0.71999997,0.84,64,inf,inf,inf,inf
0.71999997,0.88,64,inf,inf,inf,inf
0.71999997,0.92,64,inf,inf,inf,inf
