cr,f,popsize,megacity,mean,mad
0.44,0.8,64,inf,inf,inf
0.44,0.88,64,inf,inf,inf
0.44,0.92,64,inf,inf,inf
0.44,0.96,64,inf,inf,inf
0.48,0.04,64,inf,inf,inf
0.48,0.08,64,inf,inf,inf
0.48,0.12,64,inf,inf,inf
0.48,0.16,64,inf,inf,inf
0.48,0.19999999,64,inf,inf,inf
0.48,0.23999998,64,inf,inf,inf
0.48,0.28,64,inf,inf,inf
0.48,0.32,64,inf,inf,inf
0.48,0.35999998,64,inf,inf,inf
0.48,0.39999998,64,inf,inf,inf
0.48,0.43999997,64,inf,inf,inf
0.48,0.48,64,inf,inf,inf
0.48,0.52,64,inf,inf,inf
0.48,0.56,64,inf,inf,inf
0.48,0.6,64,inf,inf,inf
0.48,0.68,64,inf,inf,inf
0.48,0.72,64,inf,inf,inf
0.48,0.84,64,inf,inf,inf
0.48,0.88,64,inf,inf,inf
0.48,0.92,64,inf,inf,inf
0.48,0.96,64,inf,inf,inf
0.52,0.04,64,inf,inf,inf
0.52,0.08,64,inf,inf,inf
0.52,0.12,64,inf,inf,inf
0.52,0.16,64,inf,inf,inf
0.52,0.19999999,64,inf,inf,inf
0.52,0.23999998,64,inf,inf,inf
0.52,0.28,64,inf,inf,inf
0.52,0.32,64,inf,inf,inf
0.52,0.35999998,64,inf,inf,inf
0.52,0.39999998,64,inf,inf,inf
0.52,0.43999997,64,inf,inf,inf
0.52,0.48,64,inf,inf,inf
0.52,0.52,64,inf,inf,inf
0.52,0.56,64,inf,inf,inf
0.52,0.6,64,inf,inf,inf
0.52,0.76,64,inf,inf,inf
0.52,0.92,64,inf,inf,inf
0.52,0.96,64,inf,inf,inf
0.56,0.04,64,inf,inf,inf
0.56,0.08,64,inf,inf,inf
0.56,0.12,64,inf,inf,inf
0.56,0.16,64,inf,inf,inf
0.56,0.19999999,64,inf,inf,inf
0.56,0.23999998,64,inf,inf,inf
0.56,0.28,64,inf,inf,inf
0.56,0.32,64,inf,inf,inf
0.56,0.35999998,64,inf,inf,inf
0.56,0.39999998,64,inf,inf,inf
0.56,0.43999997,64,inf,inf,inf
0.56,0.48,64,inf,inf,inf
0.56,0.52,64,inf,inf,inf
0.56,0.68,64,inf,inf,inf
0.56,0.8,64,inf,inf,inf
0.56,0.88,64,inf,inf,inf
0.56,0.92,64,inf,inf,inf
0.56,0.96,64,inf,inf,inf
0.59999996,0.04,64,inf,inf,inf
0.59999996,0.08,64,inf,inf,inf
0.59999996,0.12,64,inf,inf,inf
0.59999996,0.16,64,inf,inf,inf
0.59999996,0.19999999,64,inf,inf,inf
0.59999996,0.23999998,64,inf,inf,inf
0.59999996,0.28,64,inf,inf,inf
0.59999996,0.32,64,inf,inf,inf
0.59999996,0.35999998,64,inf,inf,inf
0.59999996,0.39999998,64,inf,inf,inf
0.59999996,0.43999997,64,inf,inf,inf
0.59999996,0.48,64,inf,inf,inf
0.59999996,0.52,64,inf,inf,inf
0.59999996,0.56,64,inf,inf,inf
0.59999996,0.6,64,inf,inf,inf
0.59999996,0.68,64,inf,inf,inf
0.59999996,0.72,64,inf,inf,inf
0.59999996,0.76,64,inf,inf,inf
0.59999996,0.84,64,inf,inf,inf
0.59999996,0.88,64,inf,inf,inf
0.59999996,0.92,64,inf,inf,inf
0.59999996,0.96,64,inf,inf,inf
0.64,0.04,64,inf,inf,inf
0.64,0.08,64,inf,inf,inf
0.64,0.12,64,inf,inf,inf
0.64,0.16,64,inf,inf,inf
0.64,0.19999999,64,inf,inf,inf
0.64,0.23999998,64,inf,inf,inf
0.64,0.28,64,inf,inf,inf
0.64,0.32,64,inf,inf,inf
0.64,0.35999998,64,inf,inf,inf
0.64,0.39999998,64,inf,inf,inf
0.64,0.43999997,64,inf,inf,inf
0.64,0.48,64,inf,inf,inf
0.64,0.52,64,inf,inf,inf
0.64,0.56,64,inf,inf,inf
0.64,0.6,64,inf,inf,inf
0.64,0.64,64,inf,inf,inf
0.64,0.68,64,inf,inf,inf
0.64,0.72,64,inf,inf,inf
0.64,0.76,64,inf,inf,inf
0.64,0.8,64,inf,inf,inf
0.64,0.88,64,inf,inf,inf
0.64,0.96,64,inf,inf,inf
0.68,0.04,64,inf,inf,inf
0.68,0.08,64,inf,inf,inf
0.68,0.12,64,inf,inf,inf
0.68,0.16,64,inf,inf,inf
0.68,0.19999999,64,inf,inf,inf
0.68,0.23999998,64,inf,inf,inf
0.68,0.28,64,inf,inf,inf
0.68,0.32,64,inf,inf,inf
0.68,0.35999998,64,inf,inf,inf
0.68,0.39999998,64,inf,inf,inf
0.68,0.43999997,64,inf,inf,inf
0.68,0.48,64,inf,inf,inf
0.68,0.52,64,inf,inf,inf
0.68,0.56,64,inf,inf,inf
0.68,0.6,64,inf,inf,inf
0.68,0.72,64,inf,inf,inf
0.68,0.76,64,inf,inf,inf
0.68,0.88,64,inf,inf,inf
0.68,0.96,64,inf,inf,inf
0.71999997,0.04,64,inf,inf,inf
0.71999997,0.08,64,inf,inf,inf
0.71999997,0.12,64,inf,inf,inf
0.71999997,0.16,64,inf,inf,inf
0.71999997,0.19999999,64,inf,inf,inf
0.71999997,0.23999998,64,inf,inf,inf
0.71999997,0.28,64,inf,inf,inf
0.71999997,0.32,64,inf,inf,inf
0.71999997,0.35999998,64,inf,inf,inf
0.71999997,0.39999998,64,inf,inf,inf
