popsize,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
64,0.00000001,0.84,0.19999999,193683.2,193683.2,0
64,0.00000001,0.96,0.92,201241.6,201241.6,0
64,0.00000001,0.44,0.16,201945.6,201945.6,0
64,0.00000001,0.19999999,0.28,205113.6,205113.6,0
64,0.00000001,0.88,0.32,207027.2,207027.2,0
64,0.00000001,0.04,0.35999998,207347.2,207347.2,0
64,0.00000001,0.35999998,0.19999999,208339.2,208339.2,0
64,0.00000001,0.79999995,0.16,211872,211872,0
64,0.00000001,0.12,0.35999998,214272,214272,0
64,0.00000001,0.76,0.12,214937.6,214937.6,0
64,0.00000001,0.16,0.32,228908.8,228908.8,0
64,0.00000001,0.56,0.12,231059.2,231059.2,0
64,0.00000001,0.19999999,0.32,234368,234368,0
64,0.00000001,0.91999996,0.56,235091.2,235091.2,0
64,0.00000001,0.32,0.23999998,235398.4,235398.4,0
64,0.00000001,0.71999997,0.12,236966.4,236966.4,0
64,0.00000001,0.24,0.28,240640,240640,0
64,0.00000001,0.88,0.35999998,254470.4,254470.4,0
64,0.00000001,0.96,0.96,257568,257568,0
64,0.00000001,0.84,0.23999998,259366.4,259366.4,0
64,0.00000001,0.91999996,0.6,273062.4,273062.4,0
64,0.00000001,0.35999998,0.23999998,278092.8,278092.8,0
64,0.00000001,0.59999996,0.12,283897.6,283897.6,0
64,0.00000001,0.08,0.39999998,291180.8,291180.8,0
64,0.00000001,0.91999996,0.64,294073.6,294073.6,0
64,0.00000001,0.32,0.28,301011.2,301011.2,0
64,0.00000001,0.88,0.39999998,301068.8,301068.8,0
64,0.00000001,0.44,0.19999999,320217.6,320217.6,0
64,0.00000001,0.84,0.28,339219.2,339219.2,0
64,0.00000001,0.88,0.43999997,345676.8,345676.8,0
64,0.00000001,0.79999995,0.19999999,357760,357760,0
64,0.00000001,0.91999996,0.68,418060.8,418060.8,0
64,0.00000001,0,0.39999998,inf,inf,inf
64,0.00000001,0,0.43999997,inf,inf,inf
64,0.00000001,0,0.48,inf,inf,inf
64,0.00000001,0,0.52,inf,inf,inf
64,0.00000001,0,0.56,inf,inf,inf
64,0.00000001,0,0.6,inf,inf,inf
64,0.00000001,0,0.64,inf,inf,inf
64,0.00000001,0,0.68,inf,inf,inf
64,0.00000001,0,0.72,inf,inf,inf
64,0.00000001,0,0.76,inf,inf,inf
64,0.00000001,0,0.8,inf,inf,inf
64,0.00000001,0,0.84,inf,inf,inf
64,0.00000001,0,0.88,inf,inf,inf
64,0.00000001,0,0.92,inf,inf,inf
64,0.00000001,0,0.96,inf,inf,inf
64,0.00000001,0.04,0.39999998,inf,inf,inf
64,0.00000001,0.04,0.43999997,inf,inf,inf
64,0.00000001,0.04,0.48,inf,inf,inf
64,0.00000001,0.04,0.52,inf,inf,inf
64,0.00000001,0.04,0.56,inf,inf,inf
64,0.00000001,0.04,0.6,inf,inf,inf
64,0.00000001,0.04,0.64,inf,inf,inf
64,0.00000001,0.04,0.68,inf,inf,inf
64,0.00000001,0.04,0.72,inf,inf,inf
