cr,f,popsize,shubert,mean,mad
0.91999996,0.84,64,inf,inf,inf
0.91999996,0.88,64,inf,inf,inf
0.91999996,0.92,64,inf,inf,inf
0.91999996,0.96,64,inf,inf,inf
0.96,0.04,64,inf,inf,inf
0.96,0.08,64,inf,inf,inf
0.96,0.12,64,inf,inf,inf
0.96,0.16,64,inf,inf,inf
0.96,0.19999999,64,inf,inf,inf
0.96,0.23999998,64,inf,inf,inf
0.96,0.28,64,inf,inf,inf
0.96,0.32,64,inf,inf,inf
0.96,0.35999998,64,inf,inf,inf
0.96,0.39999998,64,inf,inf,inf
0.96,0.43999997,64,inf,inf,inf
0.96,0.48,64,inf,inf,inf
0.96,0.52,64,inf,inf,inf
0.96,0.56,64,inf,inf,inf
0.96,0.6,64,inf,inf,inf
0.96,0.64,64,inf,inf,inf
0.96,0.68,64,inf,inf,inf
0.96,0.72,64,inf,inf,inf
0.96,0.76,64,inf,inf,inf
0.96,0.8,64,inf,inf,inf
0.96,0.84,64,inf,inf,inf
0.96,0.88,64,inf,inf,inf
0.96,0.92,64,inf,inf,inf
0.96,0.96,64,inf,inf,inf
