h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
12,0.35999998,64,1043.2,6080,5785.6,1427.2,23033.6,10841.6,8035.2007,5934.9336
23,0.32,64,985.6,6361.6,6041.6,1516.8,21600,11705.6,8035.2007,5745.067
16,0.52,64,1024,5696,5452.8,1510.4,23513.6,11027.2,8037.3335,6155.3774
9,0.72,64,953.6,5420.8,5305.6,1408,25484.8,9689.6,8043.733,6362.311
13,0.43999997,64,1004.8,5760,5657.6,1484.8,23360,11001.6,8044.7993,6090.666
13,0.84,64,1075.2,4966.4,5324.8,1478.4,25875.2,9548.8,8044.8003,6444.8003
13,0.92,64,998.4,5190.4,5363.2,1472,26188.8,9056,8044.8003,6385.067
14,0.32,64,992,5958.4,6105.6,1465.6,22156.8,11590.4,8044.7993,5885.8667
20,0.35999998,64,1107.2,6137.6,6080,1472,22054.4,11430.4,8046.9336,5796.978
10,0.48,64,1049.6,5625.6,5676.8,1388.8,24000,10547.2,8048,6150.4
14,0.48,64,1030.4,5369.6,5696,1440,23916.8,10835.2,8048,6218.6665
12,0.92,64,947.2,5011.2,4985.6,1350.4,26400,9612.8,8051.1997,6636.8003
14,0.8,64,1094.4,5625.6,5056,1472,24921.6,10163.2,8055.467,6324.6226
10,0.56,64,979.2,5222.4,5433.6,1401.6,24883.2,10438.4,8059.733,6400.711
10,0.8,64,1030.4,4972.8,5107.2,1401.6,26508.8,9337.6,8059.733,6575.6445
13,0.88,64,1049.6,5164.8,4953.6,1465.6,26656,9100.8,8065.067,6542.2227
17,0.39999998,64,1056,5939.2,5849.6,1484.8,22880,11180.8,8065.067,5976.889
12,0.8,64,1036.8,5049.6,5273.6,1452.8,25529.6,10060.8,8067.1997,6485.3335
16,1,64,1004.8,5190.4,5024,1484.8,25228.8,10470.4,8067.2007,6521.6
10,0.72,64,985.6,5433.6,5254.4,1363.2,25414.4,9958.4,8068.267,6412.0894
9,0.56,64,966.4,5152,5260.8,1408,24761.6,10867.2,8069.3325,6496.711
11,0.68,64,1036.8,5440,5286.4,1433.6,25548.8,9670.4,8069.3335,6360.1777
12,0.76,64,1056,5158.4,5203.2,1376,25715.2,9907.2,8069.3325,6494.5776
19,0.32,64,972.8,6150.4,6035.2,1478.4,22214.4,11564.8,8069.334,5880.178
19,0.84,64,1081.6,5376,5062.4,1587.2,25350.4,9958.4,8069.3335,6390.0444
13,0.76,64,1062.4,5286.4,5561.6,1414.4,25299.2,9798.4,8070.4,6318.9336
15,1,64,1036.8,5158.4,5100.8,1536,25536,10060.8,8071.467,6484.6216
23,1,64,1049.6,5465.6,5145.6,1580.8,25011.2,10182.4,8072.5337,6349.5117
14,0.72,64,1088,4985.6,5337.6,1465.6,25305.6,10265.6,8074.6665,6473.955
9,0.39999998,64,985.6,5638.4,5504,1427.2,23980.8,10931.2,8077.8667,6252.0884
17,0.32,64,1049.6,6112,5984,1478.4,21772.8,12070.4,8077.867,5895.8228
10,0.6,64,1036.8,5177.6,5216,1452.8,25472,10131.2,8081.0664,6480.3555
15,0.23999998,64,1043.2,6169.6,5958.4,1472,21401.6,12441.6,8081.0664,5893.689
19,0.23999998,64,1075.2,6048,6342.4,1568,21625.6,11840,8083.1997,5766.4
9,0.64,64,1024,5299.2,5516.8,1369.6,25388.8,9945.6,8090.6665,6384.356
19,0.28,64,1011.2,6041.6,6156.8,1491.2,22348.8,11500.8,8091.734,5888.7114
10,0.84,64,1075.2,5017.6,4953.6,1433.6,26201.6,9888,8094.9336,6633.244
20,0.23999998,64,1100.8,6214.4,6265.6,1574.4,21440,11974.4,8094.9336,5741.5117
17,0.28,64,985.6,5964.8,5907.2,1548.8,22387.2,11801.6,8099.199,5996.7993
10,0.43999997,64,1068.8,5568,5324.8,1414.4,24672,10553.6,8100.267,6341.689
11,0.72,64,1024,5126.4,5401.6,1427.2,25856,9772.8,8101.3335,6475.3774
12,0.68,64,1024,5600,5356.8,1363.2,25331.2,9932.8,8101.3335,6353.778
13,0.32,64,979.2,5964.8,5926.4,1536,22758.4,11443.2,8101.3335,5999.6445
18,0.28,64,1088,6016,6080,1446.4,22438.4,11545.6,8102.4,5926.4
11,0.52,64,998.4,5344,5376,1446.4,24915.2,10547.2,8104.533,6417.778
8,0.52,64,1043.2,5171.2,5113.6,1376,25600,10348.8,8108.8003,6577.0664
24,0.19999999,64,992,6278.4,6547.2,1548.8,21139.2,12147.2,8108.7993,5689.5996
11,0.28,64,1056,5747.2,5932.8,1382.4,23008,11545.6,8112,6109.867
17,0.96,64,1036.8,5337.6,4928,1491.2,26016,9881.6,8115.2007,6555.733
