popsize,self_instead_neighbour,sigma,forest,hilly,mean,mad
64,0.39999998,0.68,inf,inf,inf,inf
64,0.39999998,0.72,inf,inf,inf,inf
64,0.39999998,0.76,inf,inf,inf,inf
64,0.39999998,0.8,inf,inf,inf,inf
64,0.39999998,0.84,inf,inf,inf,inf
64,0.39999998,0.88,inf,inf,inf,inf
64,0.39999998,0.92,inf,inf,inf,inf
64,0.39999998,0.96,inf,inf,inf,inf
64,0.44,0.04,inf,inf,inf,inf
64,0.44,0.08,inf,inf,inf,inf
64,0.44,0.12,inf,inf,inf,inf
64,0.44,0.16,inf,inf,inf,inf
64,0.44,0.19999999,inf,inf,inf,inf
64,0.44,0.23999998,inf,inf,inf,inf
64,0.44,0.28,inf,inf,inf,inf
64,0.44,0.32,inf,inf,inf,inf
64,0.44,0.35999998,inf,inf,inf,inf
64,0.44,0.39999998,inf,inf,inf,inf
64,0.44,0.43999997,inf,inf,inf,inf
64,0.44,0.48,94816,inf,inf,inf
64,0.44,0.52,147513.6,inf,inf,inf
64,0.44,0.56,235571.2,inf,inf,inf
64,0.44,0.6,399686.4,inf,inf,inf
64,0.44,0.64,inf,inf,inf,inf
64,0.44,0.68,inf,inf,inf,inf
64,0.44,0.72,inf,inf,inf,inf
64,0.44,0.76,inf,inf,inf,inf
64,0.44,0.8,inf,inf,inf,inf
64,0.44,0.84,inf,inf,inf,inf
64,0.44,0.88,inf,inf,inf,inf
64,0.44,0.92,inf,inf,inf,inf
64,0.44,0.96,inf,inf,inf,inf
64,0.48,0.04,inf,inf,inf,inf
64,0.48,0.08,inf,inf,inf,inf
64,0.48,0.12,inf,inf,inf,inf
64,0.48,0.16,inf,inf,inf,inf
64,0.48,0.19999999,inf,inf,inf,inf
64,0.48,0.23999998,inf,inf,inf,inf
64,0.48,0.28,inf,inf,inf,inf
64,0.48,0.32,inf,inf,inf,inf
64,0.48,0.35999998,inf,inf,inf,inf
64,0.48,0.39999998,inf,inf,inf,inf
64,0.48,0.43999997,inf,inf,inf,inf
64,0.48,0.48,97177.6,inf,inf,inf
64,0.48,0.52,140064,inf,inf,inf
64,0.48,0.56,214425.6,inf,inf,inf
64,0.48,0.6,366739.2,inf,inf,inf
64,0.48,0.64,inf,inf,inf,inf
64,0.48,0.68,inf,inf,inf,inf
64,0.48,0.72,inf,inf,inf,inf
64,0.48,0.76,inf,inf,inf,inf
64,0.48,0.8,inf,inf,inf,inf
64,0.48,0.84,inf,inf,inf,inf
64,0.48,0.88,inf,inf,inf,inf
64,0.48,0.92,inf,inf,inf,inf
64,0.48,0.96,inf,inf,inf,inf
64,0.52,0.04,inf,inf,inf,inf
64,0.52,0.08,inf,inf,inf,inf
64,0.52,0.12,inf,inf,inf,inf
64,0.52,0.16,inf,inf,inf,inf
64,0.52,0.19999999,inf,inf,inf,inf
64,0.52,0.23999998,inf,inf,inf,inf
64,0.52,0.28,inf,inf,inf,inf
64,0.52,0.32,inf,inf,inf,inf
64,0.52,0.35999998,inf,inf,inf,inf
64,0.52,0.39999998,inf,inf,inf,inf
64,0.52,0.43999997,inf,inf,inf,inf
64,0.52,0.48,99104,inf,inf,inf
64,0.52,0.52,141510.4,inf,inf,inf
64,0.52,0.56,225036.8,inf,inf,inf
64,0.52,0.6,350720,inf,inf,inf
64,0.52,0.64,inf,inf,inf,inf
64,0.52,0.68,inf,inf,inf,inf
64,0.52,0.72,inf,inf,inf,inf
64,0.52,0.76,inf,inf,inf,inf
64,0.52,0.8,inf,inf,inf,inf
64,0.52,0.84,inf,inf,inf,inf
64,0.52,0.88,inf,inf,inf,inf
64,0.52,0.92,inf,inf,inf,inf
64,0.52,0.96,inf,inf,inf,inf
64,0.56,0.04,inf,inf,inf,inf
64,0.56,0.08,inf,inf,inf,inf
64,0.56,0.12,inf,inf,inf,inf
64,0.56,0.16,inf,inf,inf,inf
64,0.56,0.19999999,inf,inf,inf,inf
64,0.56,0.23999998,inf,inf,inf,inf
64,0.56,0.28,inf,inf,inf,inf
64,0.56,0.32,inf,inf,inf,inf
64,0.56,0.35999998,inf,inf,inf,inf
64,0.56,0.39999998,51404.8,inf,inf,inf
64,0.56,0.43999997,inf,inf,inf,inf
64,0.56,0.48,98489.6,inf,inf,inf
64,0.56,0.52,151161.6,inf,inf,inf
64,0.56,0.56,228108.8,inf,inf,inf
64,0.56,0.6,362668.8,inf,inf,inf
64,0.56,0.64,inf,inf,inf,inf
64,0.56,0.68,inf,inf,inf,inf
64,0.56,0.72,inf,inf,inf,inf
64,0.56,0.76,inf,inf,inf,inf
64,0.56,0.8,inf,inf,inf,inf
64,0.56,0.84,inf,inf,inf,inf
64,0.56,0.88,inf,inf,inf,inf
64,0.56,0.92,inf,inf,inf,inf
64,0.56,0.96,inf,inf,inf,inf
64,0.59999996,0.04,inf,inf,inf,inf
64,0.59999996,0.08,inf,inf,inf,inf
64,0.59999996,0.12,inf,inf,inf,inf
64,0.59999996,0.16,inf,inf,inf,inf
64,0.59999996,0.19999999,inf,inf,inf,inf
64,0.59999996,0.23999998,inf,inf,inf,inf
64,0.59999996,0.28,inf,inf,inf,inf
64,0.59999996,0.32,inf,inf,inf,inf
64,0.59999996,0.35999998,inf,inf,inf,inf
64,0.59999996,0.39999998,inf,inf,inf,inf
64,0.59999996,0.43999997,inf,inf,inf,inf
64,0.59999996,0.48,97638.4,inf,inf,inf
64,0.59999996,0.52,136838.4,inf,inf,inf
64,0.59999996,0.6,338368,inf,inf,inf
64,0.59999996,0.64,inf,inf,inf,inf
64,0.59999996,0.68,inf,inf,inf,inf
64,0.59999996,0.72,inf,inf,inf,inf
64,0.59999996,0.76,inf,inf,inf,inf
64,0.59999996,0.8,inf,inf,inf,inf
64,0.59999996,0.84,inf,inf,inf,inf
64,0.59999996,0.88,inf,inf,inf,inf
64,0.59999996,0.92,inf,inf,inf,inf
64,0.59999996,0.96,inf,inf,inf,inf
64,0.64,0.04,inf,inf,inf,inf
64,0.64,0.08,inf,inf,inf,inf
64,0.64,0.12,inf,inf,inf,inf
64,0.64,0.16,inf,inf,inf,inf
64,0.64,0.19999999,inf,inf,inf,inf
64,0.64,0.23999998,inf,inf,inf,inf
64,0.64,0.28,inf,inf,inf,inf
64,0.64,0.32,inf,inf,inf,inf
64,0.64,0.35999998,42668.8,inf,inf,inf
64,0.64,0.39999998,inf,inf,inf,inf
64,0.64,0.43999997,inf,inf,inf,inf
64,0.64,0.48,96550.4,inf,inf,inf
64,0.64,0.52,140294.4,inf,inf,inf
64,0.64,0.6,328729.6,inf,inf,inf
64,0.64,0.64,inf,inf,inf,inf
64,0.64,0.68,inf,inf,inf,inf
64,0.64,0.72,inf,inf,inf,inf
64,0.64,0.76,inf,inf,inf,inf
64,0.64,0.8,inf,inf,inf,inf
64,0.64,0.84,inf,inf,inf,inf
64,0.64,0.88,inf,inf,inf,inf
64,0.64,0.92,inf,inf,inf,inf
64,0.64,0.96,inf,inf,inf,inf
64,0.68,0.04,inf,inf,inf,inf
64,0.68,0.08,inf,inf,inf,inf
64,0.68,0.12,inf,inf,inf,inf
64,0.68,0.16,inf,inf,inf,inf
64,0.68,0.19999999,inf,inf,inf,inf
64,0.68,0.23999998,inf,inf,inf,inf
64,0.68,0.28,inf,inf,inf,inf
64,0.68,0.32,inf,inf,inf,inf
64,0.68,0.35999998,inf,inf,inf,inf
64,0.68,0.39999998,54406.4,inf,inf,inf
64,0.68,0.43999997,72320,inf,inf,inf
64,0.68,0.48,97958.4,inf,inf,inf
64,0.68,0.6,312102.4,inf,inf,inf
64,0.68,0.64,inf,inf,inf,inf
64,0.68,0.68,inf,inf,inf,inf
64,0.68,0.72,inf,inf,inf,inf
64,0.68,0.76,inf,inf,inf,inf
64,0.68,0.8,inf,inf,inf,inf
64,0.68,0.84,inf,inf,inf,inf
64,0.68,0.88,inf,inf,inf,inf
64,0.68,0.92,inf,inf,inf,inf
64,0.68,0.96,inf,inf,inf,inf
64,0.71999997,0.04,inf,inf,inf,inf
64,0.71999997,0.08,inf,inf,inf,inf
64,0.71999997,0.12,inf,inf,inf,inf
64,0.71999997,0.16,inf,inf,inf,inf
64,0.71999997,0.19999999,inf,inf,inf,inf
64,0.71999997,0.23999998,inf,inf,inf,inf
64,0.71999997,0.28,inf,inf,inf,inf
64,0.71999997,0.32,inf,inf,inf,inf
64,0.71999997,0.35999998,inf,inf,inf,inf
64,0.71999997,0.39999998,54425.6,inf,inf,inf
64,0.71999997,0.43999997,72441.6,inf,inf,inf
64,0.71999997,0.52,137900.8,inf,inf,inf
64,0.71999997,0.6,285203.2,inf,inf,inf
64,0.71999997,0.64,436115.2,inf,inf,inf
64,0.71999997,0.68,inf,inf,inf,inf
64,0.71999997,0.72,inf,inf,inf,inf
64,0.71999997,0.76,inf,inf,inf,inf
64,0.71999997,0.8,inf,inf,inf,inf
64,0.71999997,0.84,inf,inf,inf,inf
64,0.71999997,0.88,inf,inf,inf,inf
64,0.71999997,0.92,inf,inf,inf,inf
64,0.71999997,0.96,inf,inf,inf,inf
