popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0.64,0.39999998,1382.4,3686.4,3846.4,2374.4,5990.4,7520,4133.3335,1747.9111
64,0.00000001,0.88,0.04,1344,4294.4,4300.8,2323.2,5817.6,6745.6,4137.6,1536
64,0.00000001,0.84,0.32,1254.4,4204.8,4185.6,2182.4,5990.4,7059.2,4146.1333,1618.4889
64,0.00000001,0.88,0.19999999,1254.4,4320,4294.4,2284.8,6003.2,6739.2,4149.3335,1586.4889
64,0.00000001,0.79999995,0.35999998,1350.4,4102.4,4025.6,2432,6073.6,7116.8,4183.467,1607.8223
64,0.00000001,0.68,0.39999998,1260.8,4000,3974.4,2240,6048,7603.2,4187.733,1758.5776
64,0.00000001,0.88,0.23999998,1318.4,4275.2,4352,2476.8,6220.8,7052.8,4282.6665,1592.5332
64,0.00000001,0.71999997,0.39999998,1331.2,4025.6,4019.2,2502.4,6361.6,7699.2,4323.1997,1804.7999
64,0.00000001,0.88,0.28,1363.2,4448,4480,2406.4,6528,7219.2,4407.467,1681.7778
64,0.00000001,0.76,0.39999998,1299.2,4268.8,4166.4,2553.6,6323.2,7859.2,4411.733,1786.311
64,0.00000001,0.84,0.35999998,1260.8,4454.4,4403.2,2444.8,6502.4,7718.4,4464,1764.2666
64,0.00000001,0.04,0.43999997,1094.4,3904,3884.8,2432,6540.8,9184,4506.6665,2237.1555
64,0.00000001,0.79999995,0.39999998,1376,4422.4,4352,2451.2,6585.6,8134.4,4553.6,1870.9335
64,0.00000001,0.08,0.43999997,1145.6,3865.6,3891.2,2304,6912,9350.4,4578.1333,2368.7112
64,0.00000001,0,0.43999997,1254.4,3769.6,3827.2,2470.4,6668.8,9510.4,4583.4663,2337.422
64,0.00000001,0.88,0.32,1388.8,4768,4531.2,2592,6707.2,7513.6,4583.4663,1746.1334
64,0.00000001,0.16,0.43999997,1292.8,4012.8,3942.4,2406.4,6976,9523.2,4692.267,2371.5557
