h,p_best_rate,popsize,shubert,mean,mad
18,0.39999998,64,44019.2,44019.2,0
13,0.88,64,44032,44032,0
21,0.84,64,44032,44032,0
16,0.88,64,44083.2,44083.2,0
1,0.35999998,64,44096,44096,0
6,0.96,64,44115.2,44115.2,0
14,0.84,64,44121.6,44121.6,0
24,0.56,64,44121.6,44121.6,0
8,0.84,64,44128,44128,0
24,0.96,64,44128,44128,0
19,0.8,64,44172.8,44172.8,0
22,0.32,64,44211.2,44211.2,0
14,0.92,64,44243.2,44243.2,0
1,0.39999998,64,44268.8,44268.8,0
22,0.39999998,64,44268.8,44268.8,0
13,0.6,64,44275.2,44275.2,0
24,0.43999997,64,44275.2,44275.2,0
20,0.72,64,44281.6,44281.6,0
17,0.92,64,44288,44288,0
19,1,64,44294.4,44294.4,0
14,0.88,64,44320,44320,0
18,0.52,64,44339.2,44339.2,0
8,0.88,64,44345.6,44345.6,0
1,0.48,64,44352,44352,0
12,0.88,64,44384,44384,0
18,0.6,64,44396.8,44396.8,0
22,0.72,64,44396.8,44396.8,0
18,0.72,64,44416,44416,0
20,0.43999997,64,44448,44448,0
21,0.19999999,64,44454.4,44454.4,0
24,0.72,64,44473.6,44473.6,0
17,0.72,64,44550.4,44550.4,0
24,1,64,44563.2,44563.2,0
10,0.56,64,44569.6,44569.6,0
3,1,64,44582.4,44582.4,0
17,0.56,64,44595.2,44595.2,0
1,0.8,64,44601.6,44601.6,0
17,0.96,64,44601.6,44601.6,0
15,0.43999997,64,44614.4,44614.4,0
23,0.92,64,44614.4,44614.4,0
24,0.35999998,64,44716.8,44716.8,0
18,0.43999997,64,44723.2,44723.2,0
21,0.68,64,44729.6,44729.6,0
23,0.48,64,44761.6,44761.6,0
8,0.76,64,44774.4,44774.4,0
13,0.92,64,44806.4,44806.4,0
1,0.72,64,44953.6,44953.6,0
18,0.84,64,44972.8,44972.8,0
24,0.76,64,44985.6,44985.6,0
16,0.76,64,45017.6,45017.6,0
21,0.8,64,45036.8,45036.8,0
1,1,64,45132.8,45132.8,0
20,0.8,64,45158.4,45158.4,0
17,0.76,64,45177.6,45177.6,0
16,0.64,64,45184,45184,0
24,0.88,64,45228.8,45228.8,0
24,0.48,64,45235.2,45235.2,0
21,1,64,45260.8,45260.8,0
19,0.52,64,45267.2,45267.2,0
22,0.8,64,45427.2,45427.2,0
20,0.84,64,45555.2,45555.2,0
23,0.84,64,45683.2,45683.2,0
23,1,64,45728,45728,0
23,0.96,64,45760,45760,0
24,0.92,64,45945.6,45945.6,0
19,0.96,64,46009.6,46009.6,0
23,0.64,64,46387.2,46387.2,0
